start_year,min_pmdi,total_deficit,end_year,duration,mean_pmdi
500,-1.21717003644215,-1.21717003644215,500,1,-1.21717003644215
507,-2.553755665616636,-4.439583830215955,508,2,-2.2197919151079777
512,-3.0526648194668624,-5.432483315903084,513,2,-2.716241657951542
515,-3.4650850626001026,-8.497341375282506,517,3,-2.8324471250941685
520,-2.3394378704692294,-2.3394378704692294,520,1,-2.3394378704692294
525,-4.809587913877107,-7.222236499915517,527,3,-2.4074121666385055
535,-2.719774516703021,-3.7202094737444362,536,2,-1.8601047368722181
539,-2.1010030128003923,-2.1010030128003923,539,1,-2.1010030128003923
542,-3.5425635135297733,-6.9271763850897115,543,2,-3.4635881925448557
554,-4.032947683089923,-4.032947683089923,554,1,-4.032947683089923
561,-2.8249865001353975,-2.8249865001353975,561,1,-2.8249865001353975
563,-3.2568471501984244,-7.529731165896724,565,3,-2.509910388632241
568,-3.3738080002984954,-6.0301612485604705,569,2,-3.0150806242802353
578,-2.5488260961110707,-2.5488260961110707,578,1,-2.5488260961110707
584,-1.7421777888049246,-1.7421777888049246,584,1,-1.7421777888049246
588,-2.152712091136141,-2.152712091136141,588,1,-2.152712091136141
590,-3.263710426589475,-5.524876379572184,591,2,-2.762438189786092
599,-1.504957603212669,-1.504957603212669,599,1,-1.504957603212669
603,-1.8357617189985918,-1.8357617189985918,603,1,-1.8357617189985918
610,-4.24903175673263,-5.741237867151292,611,2,-2.870618933575646
615,-2.917802838215903,-2.917802838215903,615,1,-2.917802838215903
619,-3.878607304426352,-5.598821689302289,620,2,-2.7994108446511445
625,-1.7593057704885695,-3.4804879032818197,626,2,-1.7402439516409098
630,-3.176708628135223,-3.176708628135223,630,1,-3.176708628135223
633,-2.313593984728278,-3.888862233109752,634,2,-1.944431116554876
639,-1.9839355232123757,-3.897297090778589,640,2,-1.9486485453892946
645,-5.255628745893773,-12.019313009124371,648,4,-3.0048282522810927
651,-1.3574048366708582,-1.3574048366708582,651,1,-1.3574048366708582
658,-1.1355221878049124,-1.1355221878049124,658,1,-1.1355221878049124
660,-4.117071743002886,-6.041185378571241,661,2,-3.0205926892856203
663,-2.9627812439597,-5.286659287574272,664,2,-2.643329643787136
677,-3.016393423267998,-4.932334648429248,678,2,-2.466167324214624
681,-1.0561262455455722,-1.0561262455455722,681,1,-1.0561262455455722
686,-3.137164271067684,-4.315897281677603,687,2,-2.1579486408388013
690,-1.5910295176838174,-1.5910295176838174,690,1,-1.5910295176838174
692,-1.0280285374246876,-1.0280285374246876,692,1,-1.0280285374246876
704,-3.2709726044223446,-10.518874228978863,707,4,-2.6297185572447157
709,-2.403921349271338,-2.403921349271338,709,1,-2.403921349271338
711,-3.168117674281686,-4.412007401534827,712,2,-2.2060037007674134
717,-1.8835989762503076,-3.2115954235836335,718,2,-1.6057977117918167
722,-2.629288330879791,-6.137812316937245,724,3,-2.0459374389790814
735,-1.6002239539690235,-1.6002239539690235,735,1,-1.6002239539690235
738,-5.154379932706797,-7.826172985110962,739,2,-3.913086492555481
742,-3.340525083158377,-3.340525083158377,742,1,-3.340525083158377
748,-2.823146040540678,-2.823146040540678,748,1,-2.823146040540678
751,-3.6259749607163734,-3.6259749607163734,751,1,-3.6259749607163734
756,-2.734842725416148,-3.9253234247988855,757,2,-1.9626617123994428
770,-2.0757372825025597,-3.596511394457152,771,2,-1.798255697228576
774,-3.0922514834542656,-4.118862466389917,775,2,-2.0594312331949585
779,-2.4133339562784637,-2.4133339562784637,779,1,-2.4133339562784637
782,-2.9323955907254025,-2.9323955907254025,782,1,-2.9323955907254025
795,-1.9626382609655237,-1.9626382609655237,795,1,-1.9626382609655237
797,-2.2690007909182293,-2.2690007909182293,797,1,-2.2690007909182293
807,-5.483429092294371,-9.177615658568165,809,3,-3.0592052195227217
816,-3.325146849734966,-10.11146688262006,819,4,-2.527866720655015
823,-4.356782233421375,-10.16325804781192,825,3,-3.3877526826039737
829,-3.8188598137935554,-6.407213835000266,830,2,-3.203606917500133
