year,pmdi,pmdi_center
500,-1.21717003644215,-1.26
501,-0.8031271540115841,-0.82
502,1.1263242883170768,1.14
503,1.4477982601405675,1.53
504,3.3768864173435693,3.35
505,0.23721026506608686,0.28
506,-0.8805565979407479,-0.89
507,-1.8858281645993193,-1.9
508,-2.553755665616636,-2.59
509,0.10183472149714803,0.1
510,1.862572525690785,1.89
511,-0.09595087615770026,-0.09
512,-2.3798184964362212,-2.37
513,-3.0526648194668624,-3.09
514,0.8662750659090435,0.83
515,-2.3336280890848418,-2.38
516,-3.4650850626001026,-3.53
517,-2.698628223597562,-2.77
518,-0.49506768702205006,-0.53
519,-0.8407191693216245,-0.86
520,-2.3394378704692294,-2.39
521,-0.4100405438074648,-0.45
522,1.8159435278373646,1.87
523,4.224571797088736,4.19
524,-0.6651164066201999,-0.69
525,-1.1950197234036986,-1.26
526,-4.809587913877107,-4.84
527,-1.2176288626347107,-1.23
528,0.3090521010991276,0.3
529,0.1024045219916082,0.1
530,1.694490070638368,1.73
531,-0.9534229685312761,-0.96
532,-0.0036042561832498954,0.0
533,0.13460175577053482,0.09
534,1.4858783321263407,1.47
535,-1.0004349570414155,-1.05
536,-2.719774516703021,-2.77
537,1.0503483020911872,1.06
538,0.5752123338569027,0.61
539,-2.1010030128003923,-2.11
540,-0.3060043351165211,-0.35
541,0.5012433803643984,0.51
542,-3.384612871559938,-3.41
543,-3.5425635135297733,-3.57
544,1.521654324337693,1.54
545,-0.3683712543079387,-0.38
546,3.327753075739876,3.27
547,4.905416062043941,4.93
548,1.7719080468407695,1.81
549,2.4390000533153464,2.46
550,2.251010162577282,2.24
551,3.072798970970834,3.03
552,2.85915460280373,2.85
553,-0.25158859796293154,-0.28
554,-4.032947683089923,-4.07
555,2.3801305716612604,2.37
556,1.6244752037397012,1.68
557,1.302864589101213,1.36
558,-0.7723100248111391,-0.76
559,-0.2288779726282997,-0.24
560,-0.6249675416114755,-0.64
561,-2.8249865001353975,-2.82
562,0.9131236913132327,0.94
563,-3.2568471501984244,-3.32
564,-1.4186659440463907,-1.44
565,-2.8542180716519083,-2.88
566,-0.5103574666375574,-0.5
567,0.7082305640813427,0.75
568,-2.656353248261975,-2.67
569,-3.3738080002984954,-3.43
570,-0.6201191495883066,-0.62
571,3.2920880220851485,3.26
572,2.713484035935896,2.69
573,1.8068056980258032,1.82
574,5.0420207048004135,5.11
575,7.4748592664956215,7.96
576,2.2093726206360143,2.24
577,-0.18225790604108488,-0.18
578,-2.5488260961110707,-2.57
579,-0.8081042647161463,-0.85
580,-0.9339272312858866,-0.96
581,1.8173347660778867,1.83
582,1.4423907163477334,1.46
583,0.4037551801751118,0.37
584,-1.7421777888049246,-1.82
585,0.037075628624869524,0.03
586,0.08585929220333328,0.09
587,2.4636326309106233,2.48
588,-2.152712091136141,-2.18
589,4.378668615523948,4.28
590,-2.2611659529827097,-2.3
591,-3.263710426589475,-3.34
592,2.2218944759898935,2.21
593,1.953268454788168,1.99
594,2.014798098451809,1.99
595,2.353881677579476,2.36
596,-0.4575834354769167,-0.49
597,-0.6934508309718278,-0.76
598,1.3420130051196786,1.3
599,-1.504957603212669,-1.55
600,3.61495493274367,3.49
601,2.8857772599736937,2.86
602,0.1720221870344082,0.14
603,-1.8357617189985918,-1.84
604,-0.8828952764132346,-0.94
605,1.0183934238731318,1.01
606,0.3193766596519121,0.25
607,-0.14096856691928086,-0.15
608,2.6486841922443243,2.66
609,0.13775033226749125,0.18
610,-1.4922061104186624,-1.53
611,-4.24903175673263,-4.23
612,-0.04133741938023785,-0.04
613,-0.39846300852030125,-0.43
614,-0.8220588913779767,-0.86
615,-2.917802838215903,-2.94
616,-0.786319440712023,-0.83
617,0.38630733515837856,0.4
618,1.377594911167783,1.38
619,-1.7202143848759368,-1.75
620,-3.878607304426352,-3.91
621,3.3956060908870564,3.35
622,6.403727282852478,6.84
623,1.052054186754025,1.1
624,-0.4345601774808932,-0.47
625,-1.7593057704885695,-1.78
626,-1.7211821327932502,-1.72
627,0.47760893272346294,0.51
628,2.4505000624533766,2.45
629,1.277889681801042,1.31
630,-3.176708628135223,-3.22
631,-0.4366498991519935,-0.45
632,-0.41004934005667193,-0.42
633,-1.575268248381474,-1.64
634,-2.313593984728278,-2.34
635,1.1916846602166329,1.25
636,9.453954465231133,10.07
637,2.685606701437044,2.67
638,-0.37516818386570644,-0.43
639,-1.9133615675662132,-1.99
640,-1.9839355232123757,-2.04
641,2.5446145175279766,2.57
642,-0.4454653832921005,-0.41
643,0.3508830719912898,0.34
644,-0.4542610983020172,-0.53
645,-5.255628745893773,-5.26
646,-3.5412154270478235,-3.65
647,-1.7617900399063404,-1.78
648,-1.4606787962764336,-1.42
649,2.44545749540805,2.47
650,1.5342417164228668,1.55
651,-1.3574048366708582,-1.44
652,0.17005639106611728,0.14
653,0.2887119380447936,0.33
654,-0.5083927314197806,-0.5
655,0.833535543147405,0.88
656,4.179740197370526,4.24
657,0.7407538668598161,0.75
658,-1.1355221878049124,-1.18
659,-0.7584566862137606,-0.77
660,-4.117071743002886,-4.17
661,-1.9241136355683544,-1.97
662,-0.4094195865260201,-0.44
663,-2.9627812439597,-3.01
664,-2.3238780436145725,-2.38
665,2.362605083351033,2.38
666,1.9677843199839724,2.02
667,3.3821102005503194,3.4
668,1.4493831973659796,1.5
669,-0.7279586107486925,-0.76
670,0.7011223152783348,0.68
671,-0.08543803306568794,-0.12
672,0.7819070848576998,0.84
673,5.357261522060668,5.52
674,0.31991825517271655,0.31
675,0.08732208471097365,0.09
676,1.41928049762221,1.42
677,-3.016393423267998,-3.06
678,-1.9159412251612504,-1.96
679,1.2409616593952157,1.25
680,-0.6935844786573601,-0.73
681,-1.0561262455455722,-1.09
682,1.1939203058891836,1.21
683,3.2204106560666603,3.24
684,5.800477004771693,6.2
685,1.8688941067850302,1.87
686,-3.137164271067684,-3.19
687,-1.1787330106099188,-1.2
688,3.1042032861523263,3.11
689,7.77207437069838,8.33
690,-1.5910295176838174,-1.56
691,0.7856517155797393,0.85
692,-1.0280285374246876,-1.05
693,1.15727647738665,1.17
694,-0.7040443303594375,-0.7
695,1.688443752685489,1.78
696,0.6766363814147532,0.68
697,1.1654164299095076,1.16
698,-0.4381420030376134,-0.44
699,0.7627952571196803,0.68
700,0.8736208137678912,0.78
701,-0.16603027315933777,-0.12
702,-0.17817054005887845,-0.21
703,-0.5746084920280482,-0.63
704,-3.2709726044223446,-3.36
705,-1.8929073368173472,-1.95
706,-2.868676304360274,-2.93
707,-2.486317983378896,-2.5
708,1.393778609538543,1.31
709,-2.403921349271338,-2.41
710,0.7015177713901617,0.69
711,-1.2438897272531406,-1.3
712,-3.168117674281686,-3.17
713,0.4820222689377716,0.45
714,1.5498076139269832,1.57
715,0.020118663642504704,0.02
716,0.09243195311282768,0.05
717,-1.327996447333326,-1.42
718,-1.8835989762503076,-1.95
719,2.4881369931386677,2.52
720,2.8116700990972383,2.81
721,-0.4917714323112216,-0.56
722,-1.1801755674270393,-1.26
723,-2.328348418630414,-2.38
724,-2.629288330879791,-2.7
725,1.3037402417858939,1.35
726,0.7570106304487352,0.77
727,0.7465325662939997,0.79
728,3.4682950226937623,3.46
729,0.7550541871574475,0.77
730,3.7867232701494244,3.79
731,5.102429273598487,5.28
732,1.5637700465695006,1.57
733,1.7131617165327773,1.75
734,0.18763429495301084,0.19
735,-1.6002239539690235,-1.64
736,-0.39651899493884607,-0.39
737,0.6328588693805562,0.69
738,-5.154379932706797,-5.23
739,-2.6717930524041655,-2.69
740,0.7610996418947023,0.8
741,-0.897875013445821,-0.93
742,-3.340525083158377,-3.41
743,-0.4447443609906098,-0.45
744,-0.6863095028174946,-0.7
745,-0.24309587351793413,-0.26
746,1.1024654007613157,1.12
747,0.04298567256419243,0.06
748,-2.823146040540678,-2.89
749,0.8848312229526654,0.91
750,-0.9686328289497905,-1.01
751,-3.6259749607163734,-3.69
752,-0.4924323844321599,-0.54
753,-0.01949492764767784,-0.03
754,-0.4852972083263719,-0.51
755,-0.09098846108525314,-0.11
756,-1.1904806993827375,-1.25
757,-2.734842725416148,-2.81
758,-0.36682731955889913,-0.38
759,1.0903975244992203,1.15
760,-0.9988140178343199,-1.02
761,-0.504856297275579,-0.51
762,-0.9758994314640814,-1.02
763,-0.3337159045615847,-0.37
764,-0.5707908586057407,-0.62
765,1.7448753009490325,1.8
766,3.4947481468365935,3.46
767,0.017840711050089723,-0.01
768,3.2862197177208023,3.26
769,0.49260635111337403,0.42
770,-2.0757372825025597,-2.12
771,-1.5207741119545921,-1.56
772,3.3653630786181097,3.41
773,0.9543276878924033,0.93
774,-3.0922514834542656,-3.18
775,-1.0266109829356516,-1.08
776,1.2249080114989166,1.25
777,0.9805150643690418,0.96
778,-0.7876701082997826,-0.88
779,-2.4133339562784637,-2.48
780,3.0868289382500445,3.05
781,1.297162337193011,1.35
782,-2.9323955907254025,-3.01
783,0.13620367292726093,0.16
784,3.183856081061207,3.16
785,2.6642267323798388,2.67
786,-0.8856870976071788,-0.92
787,3.09057523281276,3.08
788,0.6397465371181078,0.6
789,0.8114144779604855,0.83
790,-0.5391762600821016,-0.55
791,-0.24952696311256994,-0.3
792,2.289877504857703,2.31
793,1.8366655930167317,1.86
794,0.7469045667740581,0.73
795,-1.9626382609655237,-2.04
796,-0.32778776480968624,-0.36
797,-2.2690007909182293,-2.33
798,1.0556228727792019,1.13
799,0.3169534660344597,0.36
800,4.214372324765277,4.21
801,2.097561885434372,2.08
802,2.7298099880936486,2.69
803,5.169362413139085,5.32
804,3.6674545812742476,3.69
805,1.1702728795704447,1.18
806,-0.15362764879284918,-0.17
807,-2.0761612761399304,-2.14
808,-1.6180252901338632,-1.71
809,-5.483429092294371,-5.53
810,0.7897111649992026,0.82
811,0.5052618625484862,0.51
812,0.37626741180943574,0.38
813,2.2930908457463506,2.36
814,0.9222811001072384,0.96
815,0.4804061857314291,0.51
816,-1.370882109503942,-1.43
817,-2.7906687675058817,-2.9
818,-3.325146849734966,-3.38
819,-2.624769155875271,-2.64
820,4.920290211870714,5.08
821,7.488146752234138,8.05
822,2.933983522576003,2.92
823,-4.356782233421375,-4.44
824,-3.0853500011728614,-3.14
825,-2.721125813217684,-2.75
826,0.6987906247204424,0.76
827,0.7532976668944243,0.75
828,1.8879561100334108,1.91
829,-3.8188598137935554,-3.86
830,-2.5883540212067104,-2.64
831,2.6862798861645216,2.75
832,0.515996707862211,0.5
833,0.12822866645622322,0.11
834,-0.7604332574554634,-0.81
835,-2.015686611661377,-2.07
836,-0.09051087347206364,-0.06
837,-2.290140140754347,-2.3
838,-0.3436144998570502,-0.33
839,-0.28752609089611164,-0.3
840,-3.060584531871851,-3.14
841,-0.2046697932171101,-0.23
842,0.9638622872319432,0.96
843,3.9763608303667533,3.87
844,0.18654738804313512,0.13
845,0.5158501455296008,0.5
846,-1.7688767312069777,-1.79
847,-3.755460237871879,-3.81
848,0.05380835173157654,0.06
849,-0.6600307225530191,-0.71
850,0.03658932616155807,0.03
851,-1.1819534481618221,-1.23
852,1.7487889787524036,1.8
853,1.3247085922890915,1.38
854,2.641291883546465,2.62
855,0.06642122319065864,0.05
856,1.366206263005732,1.42
857,-2.013993946920611,-2.05
858,3.0339010321817335,3.03
859,0.05074764332072028,0.05
860,0.23440452209246385,0.23
861,0.19852094628273453,0.22
862,1.235215445626451,1.28
863,-0.31131400889800087,-0.32
864,-1.054851270008274,-1.05
865,-0.4249354693927513,-0.48
866,0.1820058548385103,0.17
867,-2.4330992548172006,-2.51
868,-2.5842303300951883,-2.63
869,1.6162242416739465,1.65
870,-1.20210438155794,-1.27
871,0.9250474603041902,0.92
872,-0.5675621469999863,-0.58
873,0.7326286288502678,0.73
874,-0.9854966454088346,-0.99
875,-1.6469024442644735,-1.68
876,2.453000440191137,2.47
877,-0.7071031857904275,-0.77
