year,total_population,total_monuments,total_exotics,total_conflicts,productivity,is_drought,pop_monument_builder,pop_balanced,pop_reproduction
801,0,0.0,0,0,0.8048780942717185,False,0,0,0
802,0,0.0,0,0,0.8364904994046825,False,0,0,0
803,0,0.0,0,0,0.9584681206569543,False,0,0,0
804,0,0.0,0,0,0.8833727290637123,False,0,0,0
805,0,0.0,0,0,0.7585136439785222,False,0,0,0
806,0,0.0,0,0,0.6923186175603575,False,0,0,0
807,0,0.0,0,0,0.5961919361930035,True,0,0,0
808,0,0.0,0,0,0.6190987354933069,True,0,0,0
809,0,0.0,0,0,0.42582854538528137,True,0,0,0
810,0,0.0,0,0,0.7394855582499601,False,0,0,0
811,0,0.0,0,0,0.7252630931274242,False,0,0,0
812,0,0.0,0,0,0.7188133705904718,False,0,0,0
813,0,0.0,0,0,0.8146545422873175,False,0,0,0
814,0,0.0,0,0,0.7461140550053619,False,0,0,0
815,0,0.0,0,0,0.7240203092865715,False,0,0,0
816,0,0.0,0,0,0.6314558945248029,True,0,0,0
817,0,0.0,0,0,0.5604665616247059,True,0,0,0
818,0,0.0,0,0,0.5337426575132517,True,0,0,0
819,0,0.0,0,0,0.5687615422062364,True,0,0,0
820,0,0.0,0,0,0.9460145105935357,False,0,0,0
821,0,0.0,0,0,1.0,False,0,0,0
822,0,0.0,0,0,0.8466991761288001,False,0,0,0
823,0,0.0,0,0,0.4821608883289312,True,0,0,0
824,0,0.0,0,0,0.5457324999413569,True,0,0,0
825,0,0.0,0,0,0.5639437093391158,True,0,0,0
826,0,0.0,0,0,0.7349395312360221,False,0,0,0
827,0,0.0,0,0,0.7376648833447211,False,0,0,0
828,0,0.0,0,0,0.7943978055016705,False,0,0,0
829,0,0.0,0,0,0.5090570093103222,True,0,0,0
830,0,0.0,0,0,0.5705822989396644,True,0,0,0
831,0,0.0,0,0,0.8343139943082261,False,0,0,0
832,0,0.0,0,0,0.7257998353931105,False,0,0,0
833,0,0.0,0,0,0.7064114333228111,False,0,0,0
834,0,0.0,0,0,0.6619783371272268,False,0,0,0
835,0,0.0,0,0,0.599215669416931,True,0,0,0
836,0,0.0,0,0,0.6954744563263968,False,0,0,0
837,0,0.0,0,0,0.5854929929622826,True,0,0,0
838,0,0.0,0,0,0.6828192750071475,False,0,0,0
839,0,0.0,0,0,0.6856236954551944,False,0,0,0
840,0,0.0,0,0,0.5469707734064074,True,0,0,0
841,0,0.0,0,0,0.6897665103391445,False,0,0,0
842,0,0.0,0,0,0.7481931143615971,False,0,0,0
843,0,0.0,0,0,0.8988180415183377,False,0,0,0
844,0,0.0,0,0,0.7093273694021567,False,0,0,0
845,0,0.0,0,0,0.72579250727648,False,0,0,0
846,0,0.0,0,0,0.6115561634396511,True,0,0,0
847,0,0.0,0,0,0.512226988106406,True,0,0,0
848,0,0.0,0,0,0.7026904175865788,False,0,0,0
849,0,0.0,0,0,0.666998463872349,False,0,0,0
850,0,0.0,0,0,0.7018294663080779,False,0,0,0
850,698,3485.438373705302,6,0,0.7018294663080779,False,698,0,0
851,644,3469.2970759239906,11,0,0.6409023275919089,True,644,0,0
852,643,3456.871448998733,18,0,0.7874394489376202,False,643,0,0
853,642,3444.055774854044,24,0,0.7662354296144546,False,642,0,0
854,642,3432.9649438372744,31,0,0.8320645941773233,False,642,0,0
855,642,3418.862346737326,37,0,0.7033210611595329,False,642,0,0
856,642,3406.4770899154128,43,0,0.7683103131502865,False,642,0,0
857,594,3389.8688478571303,48,0,0.5993003026539694,True,594,0,0
858,595,3379.548522855337,55,0,0.8516950516090867,False,595,0,0
859,596,3365.713581831221,61,0,0.702537382166036,False,596,0,0
860,597,3352.239720097076,67,0,0.7117202261046232,False,597,0,0
861,599,3338.8570791737093,73,0,0.7099260473141367,False,599,0,0
862,601,3326.9150159136557,79,0,0.7617607722813226,False,601,0,0
863,602,3313.216819690228,85,0,0.6844342995550999,False,602,0,0
864,558,3298.506380615623,90,0,0.6472574364995862,True,558,0,0
865,560,3284.756476318961,96,0,0.6787532265303624,False,560,0,0
866,562,3271.8801391562274,102,0,0.7091002927419254,False,562,0,0
867,521,3255.7630966433853,107,0,0.5783450372591399,True,521,0,0
868,484,3239.425940344129,112,0,0.5707884834952406,True,484,0,0
869,486,3228.3462568897776,119,0,0.7808112120836973,False,486,0,0
870,451,3213.8109422321454,124,0,0.639894780922103,True,451,0,0
871,453,3202.0006841173076,130,0,0.7462523730152095,False,453,0,0
872,455,3188.49836628236,136,0,0.6716218926500006,False,455,0,0
873,457,3176.707877989175,142,0,0.7366314314425133,False,457,0,0
874,459,3162.9516381525636,147,0,0.6507251677295582,False,459,0,0
875,426,3148.382340831756,152,0,0.6176548777867763,True,426,0,0
876,428,3138.9308937072806,159,0,0.8226500220095568,False,428,0,0
877,430,3125.7910453816403,165,0,0.6646448407104786,False,430,0,0
878,399,3109.343136108162,169,0,0.5310039653819224,True,399,0,0
879,401,3096.1377993100605,174,0,0.6558686688509616,False,401,0,0
880,402,3083.79244202805,180,0,0.6858800540544483,False,402,0,0
881,403,3072.3784819821435,186,0,0.7191904503967687,False,403,0,0
