year,timber_count,construction_intensity,notes,source
850,15,low,Pueblo Bonito and Una Vida initial construction,Guiterman et al. 2015
860,12,low,Continued early construction,Guiterman et al. 2015
870,8,low,Reduced activity,Guiterman et al. 2015
880,10,low,Minimal construction,Guiterman et al. 2015
890,14,low,Pre-florescence period,Guiterman et al. 2015
900,20,low,Penasco Blanco begins,Guiterman et al. 2015
910,18,low,Gradual expansion,Guiterman et al. 2015
920,22,low,Una Vida expansion,Guiterman et al. 2015
930,25,low,Continued growth,Guiterman et al. 2015
940,28,low,Pre-florescence,Guiterman et al. 2015
950,35,moderate,Hungo Pavi begins,Guiterman et al. 2015
960,40,moderate,Increasing activity,Guiterman et al. 2015
970,45,moderate,Expansion continues,Guiterman et al. 2015
980,55,moderate,Pre-florescence peak,Guiterman et al. 2015
990,70,moderate,Chetro Ketl begins; timber shift starts,Guiterman et al. 2015
1000,85,moderate,Chaco florescence begins,Guiterman et al. 2015
1010,100,high,Major construction phase,Guiterman et al. 2015
1020,150,high,Pueblo Alto begins; Chuska timber dominates,Guiterman et al. 2015
1030,180,high,Peak early florescence,Guiterman et al. 2015
1040,200,high,Casa Rinconada great kiva,Guiterman et al. 2015
1050,220,high,Maximum construction activity,Guiterman et al. 2015
1060,210,high,Continued high activity,Guiterman et al. 2015
1070,190,high,Pueblo del Arroyo begins,Guiterman et al. 2015
1080,180,high,Pueblo Bonito peak size,Guiterman et al. 2015
1090,160,moderate,Slight reduction,Guiterman et al. 2015
1100,140,moderate,Wijiji and Tsin Kletzin begin,Guiterman et al. 2015
1110,120,moderate,Late construction phase,Guiterman et al. 2015
1120,80,moderate,Construction declining,Guiterman et al. 2015
1125,60,low,Kin Kletso - final major construction,Guiterman et al. 2015
1130,30,low,Drought begins; construction drops sharply,Guiterman et al. 2015
1135,15,minimal,Near cessation,Guiterman et al. 2015
1140,8,minimal,Sporadic activity only,Guiterman et al. 2015
1145,3,minimal,Construction essentially ended,Guiterman et al. 2015
1150,0,none,Abandonment,Guiterman et al. 2015
