Year Lat Lon PMDI
0 36.25 -108.25 1.19
1 36.25 -108.25 -0.53
2 36.25 -108.25 -1.81
3 36.25 -108.25 -2.18
4 36.25 -108.25 -1.55
5 36.25 -108.25 -2.05
6 36.25 -108.25 0.3
7 36.25 -108.25 -0.65
8 36.25 -108.25 -0.7
9 36.25 -108.25 -0.88
10 36.25 -108.25 -0.75
11 36.25 -108.25 -0.51
12 36.25 -108.25 -1.6
13 36.25 -108.25 -2.42
14 36.25 -108.25 -2.35
15 36.25 -108.25 -4.9
16 36.25 -108.25 -3.19
17 36.25 -108.25 -2.6
18 36.25 -108.25 -1.39
19 36.25 -108.25 -0.98
20 36.25 -108.25 -1.56
21 36.25 -108.25 -0.67
22 36.25 -108.25 -1.89
23 36.25 -108.25 -0.27
24 36.25 -108.25 -2.89
25 36.25 -108.25 -2.12
26 36.25 -108.25 -2.53
27 36.25 -108.25 -2.28
28 36.25 -108.25 -0.84
29 36.25 -108.25 -1.89
30 36.25 -108.25 -1.04
31 36.25 -108.25 0.85
32 36.25 -108.25 7.52
33 36.25 -108.25 4.13
34 36.25 -108.25 9.25
35 36.25 -108.25 4.34
36 36.25 -108.25 1.89
37 36.25 -108.25 -0.92
38 36.25 -108.25 -1.18
39 36.25 -108.25 -0.94
40 36.25 -108.25 -0.07
41 36.25 -108.25 0.84
42 36.25 -108.25 -1.07
43 36.25 -108.25 -0.74
44 36.25 -108.25 -1.63
45 36.25 -108.25 -0.73
46 36.25 -108.25 -0.96
47 36.25 -108.25 -0.78
48 36.25 -108.25 -2.59
49 36.25 -108.25 -2.6
50 36.25 -108.25 1.71
51 36.25 -108.25 0.96
52 36.25 -108.25 -0.43
53 36.25 -108.25 -5
54 36.25 -108.25 -2.2
55 36.25 -108.25 -1.2
56 36.25 -108.25 -2.84
57 36.25 -108.25 -3.54
58 36.25 -108.25 -0.36
59 36.25 -108.25 0.71
60 36.25 -108.25 0.69
61 36.25 -108.25 2.73
