Year Lat Lon PMDI
500 35.75 -108.75 -0.94
500 35.75 -108.25 -0.95
500 35.75 -107.75 -1
500 35.75 -107.25 -1.05
500 36.25 -108.75 -1.21
500 36.25 -108.25 -1.26
500 36.25 -107.75 -1.26
500 36.25 -107.25 -1.16
500 36.75 -108.75 -1.46
500 36.75 -108.25 -1.36
500 36.75 -107.75 -1.36
500 36.75 -107.25 -1.27
501 35.75 -108.75 -0.91
501 35.75 -108.25 -0.9
501 35.75 -107.75 -0.93
501 35.75 -107.25 -1
501 36.25 -108.75 -0.83
501 36.25 -108.25 -0.82
501 36.25 -107.75 -0.79
501 36.25 -107.25 -0.74
501 36.75 -108.75 -0.76
501 36.75 -108.25 -0.68
501 36.75 -107.75 -0.59
501 36.75 -107.25 -0.53
502 35.75 -108.75 1.08
502 35.75 -108.25 1
502 35.75 -107.75 0.98
502 35.75 -107.25 0.96
502 36.25 -108.75 1.06
502 36.25 -108.25 1.14
502 36.25 -107.75 1.11
502 36.25 -107.25 0.97
502 36.75 -108.75 1.35
502 36.75 -108.25 1.2
502 36.75 -107.75 1.29
502 36.75 -107.25 1.28
503 35.75 -108.75 1.54
503 35.75 -108.25 1.32
503 35.75 -107.75 1.18
503 35.75 -107.25 1.07
503 36.25 -108.75 1.58
503 36.25 -108.25 1.53
503 36.25 -107.75 1.32
503 36.25 -107.25 1.05
503 36.75 -108.75 1.87
503 36.75 -108.25 1.49
503 36.75 -107.75 1.36
503 36.75 -107.25 1.19
504 35.75 -108.75 3.16
504 35.75 -108.25 3.06
504 35.75 -107.75 3.09
504 35.75 -107.25 3.15
504 36.25 -108.75 3.55
504 36.25 -108.25 3.35
504 36.25 -107.75 3.4
504 36.25 -107.25 3.3
504 36.75 -108.75 3.95
504 36.75 -108.25 3.72
504 36.75 -107.75 3.43
504 36.75 -107.25 3.38
505 35.75 -108.75 0.47
505 35.75 -108.25 0.26
505 35.75 -107.75 0.06
505 35.75 -107.25 -0.05
505 36.25 -108.75 0.41
505 36.25 -108.25 0.28
505 36.25 -107.75 0.08
505 36.25 -107.25 -0.05
505 36.75 -108.75 0.47
505 36.75 -108.25 0.22
505 36.75 -107.75 0.12
505 36.75 -107.25 0.02
506 35.75 -108.75 -0.79
506 35.75 -108.25 -0.84
506 35.75 -107.75 -0.93
506 35.75 -107.25 -1.03
506 36.25 -108.75 -0.84
506 36.25 -108.25 -0.89
506 36.25 -107.75 -0.92
506 36.25 -107.25 -0.9
506 36.75 -108.75 -0.89
506 36.75 -108.25 -0.85
506 36.75 -107.75 -0.86
506 36.75 -107.25 -0.82
507 35.75 -108.75 -2.03
507 35.75 -108.25 -1.9
507 35.75 -107.75 -1.94
507 35.75 -107.25 -2.01
507 36.25 -108.75 -1.86
507 36.25 -108.25 -1.9
507 36.25 -107.75 -1.86
507 36.25 -107.25 -1.73
507 36.75 -108.75 -1.99
507 36.75 -108.25 -1.8
507 36.75 -107.75 -1.79
507 36.75 -107.25 -1.7
508 35.75 -108.75 -2.74
508 35.75 -108.25 -2.56
508 35.75 -107.75 -2.58
508 35.75 -107.25 -2.61
508 36.25 -108.75 -2.53
508 36.25 -108.25 -2.59
508 36.25 -107.75 -2.51
508 36.25 -107.25 -2.32
508 36.75 -108.75 -2.78
508 36.75 -108.25 -2.45
508 36.75 -107.75 -2.38
508 36.75 -107.25 -2.25
509 35.75 -108.75 -0.13
509 35.75 -108.25 -0.07
509 35.75 -107.75 -0.05
509 35.75 -107.25 -0.07
509 36.25 -108.75 -0.05
509 36.25 -108.25 0.1
509 36.25 -107.75 0.19
509 36.25 -107.25 0.17
509 36.75 -108.75 0.14
509 36.75 -108.25 0.22
509 36.75 -107.75 0.42
509 36.75 -107.25 0.5
510 35.75 -108.75 1.78
510 35.75 -108.25 1.69
510 35.75 -107.75 1.75
510 35.75 -107.25 1.77
510 36.25 -108.75 1.79
510 36.25 -108.25 1.89
510 36.25 -107.75 1.88
510 36.25 -107.25 1.77
510 36.75 -108.75 2.1
510 36.75 -108.25 1.88
510 36.75 -107.75 1.92
510 36.75 -107.25 2
511 35.75 -108.75 0.08
511 35.75 -108.25 0.02
511 35.75 -107.75 -0.06
511 35.75 -107.25 -0.12
511 36.25 -108.75 -0.09
511 36.25 -108.25 -0.09
511 36.25 -107.75 -0.14
511 36.25 -107.25 -0.18
511 36.75 -108.75 -0.14
511 36.75 -108.25 -0.19
511 36.75 -107.75 -0.17
511 36.75 -107.25 -0.16
512 35.75 -108.75 -2.45
512 35.75 -108.25 -2.41
512 35.75 -107.75 -2.58
512 35.75 -107.25 -2.7
512 36.25 -108.75 -2.2
512 36.25 -108.25 -2.37
512 36.25 -107.75 -2.45
512 36.25 -107.25 -2.4
512 36.75 -108.75 -2.37
512 36.75 -108.25 -2.21
512 36.75 -107.75 -2.32
512 36.75 -107.25 -2.36
513 35.75 -108.75 -3.11
513 35.75 -108.25 -2.94
513 35.75 -107.75 -2.98
513 35.75 -107.25 -2.99
513 36.25 -108.75 -2.99
513 36.25 -108.25 -3.09
513 36.25 -107.75 -3.04
513 36.25 -107.25 -2.86
513 36.75 -108.75 -3.43
513 36.75 -108.25 -3.03
513 36.75 -107.75 -2.97
513 36.75 -107.25 -2.88
514 35.75 -108.75 0.94
514 35.75 -108.25 1.14
514 35.75 -107.75 1.38
514 35.75 -107.25 1.48
514 36.25 -108.75 0.5
514 36.25 -108.25 0.83
514 36.25 -107.75 1.05
514 36.25 -107.25 1.07
514 36.75 -108.75 0.36
514 36.75 -108.25 0.49
514 36.75 -107.75 0.81
514 36.75 -107.25 1.01
515 35.75 -108.75 -2.25
515 35.75 -108.25 -2.08
515 35.75 -107.75 -2.1
515 35.75 -107.25 -2.13
515 36.25 -108.75 -2.29
515 36.25 -108.25 -2.38
515 36.25 -107.75 -2.33
515 36.25 -107.25 -2.16
515 36.75 -108.75 -2.69
515 36.75 -108.25 -2.44
515 36.75 -107.75 -2.44
515 36.75 -107.25 -2.34
516 35.75 -108.75 -3.45
516 35.75 -108.25 -3.25
516 35.75 -107.75 -3.23
516 35.75 -107.25 -3.17
516 36.25 -108.75 -3.44
516 36.25 -108.25 -3.53
516 36.25 -107.75 -3.44
516 36.25 -107.25 -3.18
516 36.75 -108.75 -4.02
516 36.75 -108.25 -3.53
516 36.75 -107.75 -3.42
516 36.75 -107.25 -3.3
517 35.75 -108.75 -2.89
517 35.75 -108.25 -2.57
517 35.75 -107.75 -2.46
517 35.75 -107.25 -2.42
517 36.25 -108.75 -2.81
517 36.25 -108.25 -2.77
517 36.25 -107.75 -2.57
517 36.25 -107.25 -2.31
517 36.75 -108.75 -3.2
517 36.75 -108.25 -2.72
517 36.75 -107.75 -2.55
517 36.75 -107.25 -2.33
518 35.75 -108.75 -0.57
518 35.75 -108.25 -0.46
518 35.75 -107.75 -0.39
518 35.75 -107.25 -0.41
518 36.25 -108.75 -0.69
518 36.25 -108.25 -0.53
518 36.25 -107.75 -0.39
518 36.25 -107.25 -0.34
518 36.75 -108.75 -0.7
518 36.75 -108.25 -0.52
518 36.75 -107.75 -0.31
518 36.75 -107.25 -0.18
519 35.75 -108.75 -0.82
519 35.75 -108.25 -0.79
519 35.75 -107.75 -0.81
519 35.75 -107.25 -0.89
519 36.25 -108.75 -0.88
519 36.25 -108.25 -0.86
519 36.25 -107.75 -0.82
519 36.25 -107.25 -0.78
519 36.75 -108.75 -0.94
519 36.75 -108.25 -0.84
519 36.75 -107.75 -0.78
519 36.75 -107.25 -0.71
520 35.75 -108.75 -2.49
520 35.75 -108.25 -2.3
520 35.75 -107.75 -2.27
520 35.75 -107.25 -2.25
520 36.25 -108.75 -2.35
520 36.25 -108.25 -2.39
520 36.25 -107.75 -2.26
520 36.25 -107.25 -2.02
520 36.75 -108.75 -2.64
520 36.75 -108.25 -2.33
520 36.75 -107.75 -2.22
520 36.75 -107.25 -2.01
521 35.75 -108.75 -0.49
521 35.75 -108.25 -0.4
521 35.75 -107.75 -0.34
521 35.75 -107.25 -0.34
521 36.25 -108.75 -0.6
521 36.25 -108.25 -0.45
521 36.25 -107.75 -0.3
521 36.25 -107.25 -0.24
