start_year,min_pdsi,total_deficit,end_year,duration
513.0,-2.01,-0.5099999999999998,513.0,1.0
518.0,-2.62,-1.94,519.0,2.0
523.0,-1.91,-0.5999999999999999,524.0,2.0
526.0,-2.28,-0.7799999999999998,526.0,1.0
533.0,-1.51,-0.010000000000000009,533.0,1.0
574.0,-2.72,-1.2200000000000002,574.0,1.0
588.0,-1.7,-0.19999999999999996,588.0,1.0
595.0,-2.87,-1.37,595.0,1.0
600.0,-1.53,-0.030000000000000027,600.0,1.0
610.0,-2.26,-0.7599999999999998,610.0,1.0
617.0,-1.83,-0.33000000000000007,617.0,1.0
623.0,-2.76,-1.2599999999999998,623.0,1.0
629.0,-2.92,-1.5,630.0,2.0
658.0,-2.04,-0.54,658.0,1.0
693.0,-2.51,-1.0099999999999998,693.0,1.0
699.0,-2.3,-0.7999999999999998,699.0,1.0
721.0,-2.67,-1.17,721.0,1.0
723.0,-1.64,-0.1399999999999999,723.0,1.0
727.0,-2.0,-0.97,728.0,2.0
736.0,-2.98,-1.48,736.0,1.0
762.0,-3.66,-2.5200000000000005,763.0,2.0
771.0,-2.14,-0.6400000000000001,771.0,1.0
785.0,-1.97,-0.47,785.0,1.0
825.0,-1.55,-0.050000000000000044,825.0,1.0
833.0,-1.88,-0.3799999999999999,833.0,1.0
840.0,-2.01,-0.5099999999999998,840.0,1.0
846.0,-1.96,-0.72,847.0,2.0
869.0,-1.75,-0.25,869.0,1.0
875.0,-2.12,-0.6200000000000001,875.0,1.0
882.0,-3.08,-1.58,882.0,1.0
896.0,-2.74,-1.2400000000000002,896.0,1.0
904.0,-1.66,-0.15999999999999992,904.0,1.0
911.0,-2.37,-1.4300000000000002,912.0,2.0
931.0,-2.69,-1.19,931.0,1.0
937.0,-2.81,-1.9,938.0,2.0
942.0,-1.72,-0.21999999999999997,942.0,1.0
944.0,-2.1,-0.6000000000000001,944.0,1.0
971.0,-2.01,-1.0099999999999998,972.0,2.0
981.0,-1.81,-0.56,982.0,2.0
987.0,-1.83,-0.33000000000000007,987.0,1.0
1002.0,-2.03,-0.5299999999999998,1002.0,1.0
1007.0,-1.88,-0.3799999999999999,1007.0,1.0
1009.0,-2.07,-0.5699999999999998,1009.0,1.0
1014.0,-1.81,-0.31000000000000005,1014.0,1.0
1044.0,-2.87,-1.37,1044.0,1.0
1078.0,-2.07,-0.5699999999999998,1078.0,1.0
1091.0,-2.25,-0.81,1092.0,2.0
1097.0,-1.83,-0.54,1098.0,2.0
1101.0,-1.74,-0.24,1101.0,1.0
1106.0,-1.91,-0.8900000000000001,1108.0,3.0
1113.0,-2.56,-1.06,1113.0,1.0
1120.0,-2.3,-0.7999999999999998,1120.0,1.0
1126.0,-1.66,-0.15999999999999992,1126.0,1.0
1130.0,-3.31,-1.81,1130.0,1.0
1132.0,-4.7,-14.189999999999998,1140.0,9.0
1142.0,-4.6,-10.589999999999998,1149.0,8.0
1152.0,-3.37,-2.3,1153.0,2.0
1155.0,-3.73,-15.440000000000001,1164.0,10.0
1166.0,-1.54,-0.040000000000000036,1166.0,1.0
1168.0,-4.8,-3.3,1168.0,1.0
1171.0,-3.32,-1.8199999999999998,1171.0,1.0
1174.0,-3.56,-4.380000000000001,1176.0,3.0
1184.0,-2.12,-0.6200000000000001,1184.0,1.0
1190.0,-1.68,-0.17999999999999994,1190.0,1.0
1197.0,-2.18,-0.6800000000000002,1197.0,1.0
1204.0,-1.63,-0.1299999999999999,1204.0,1.0
1233.0,-1.66,-0.15999999999999992,1233.0,1.0
1254.0,-1.62,-0.1200000000000001,1254.0,1.0
1260.0,-1.53,-0.030000000000000027,1260.0,1.0
1275.0,-3.42,-2.3499999999999996,1276.0,2.0
1280.0,-3.79,-3.05,1282.0,3.0
1287.0,-4.65,-14.360000000000001,1299.0,13.0
1315.0,-1.91,-0.4099999999999999,1315.0,1.0
1323.0,-1.72,-0.32000000000000006,1324.0,2.0
1330.0,-2.71,-1.68,1331.0,2.0
1337.0,-1.73,-0.22999999999999998,1337.0,1.0
1372.0,-1.88,-0.3799999999999999,1372.0,1.0
1399.0,-1.97,-0.47,1399.0,1.0
1401.0,-1.58,-0.08000000000000007,1401.0,1.0
1406.0,-2.13,-0.6299999999999999,1406.0,1.0
1421.0,-1.83,-0.33000000000000007,1421.0,1.0
1433.0,-2.53,-1.0299999999999998,1433.0,1.0
1435.0,-1.98,-0.76,1436.0,2.0
1469.0,-2.1,-0.6000000000000001,1469.0,1.0
1475.0,-1.58,-0.08000000000000007,1475.0,1.0
1477.0,-3.0,-1.83,1478.0,2.0
1491.0,-2.68,-1.1800000000000002,1491.0,1.0
1498.0,-1.91,-0.4099999999999999,1498.0,1.0
